model,price,reviews,sells,url,vendor
UniFi,2920,8,671,https://www.mercadolivre.com.br/access-point-ubiquiti-unifi-uapachd-branco/p/MLB15258384?pdp_filters=category:MLB5867,Ubiquiti
,372,532,53,https://produto.mercadolivre.com.br/MLB-1800657158-access-point-roteador-tp-link-archer-c80-preto-1-unidade-_JM,
,78.20,"1,229",215,https://produto.mercadolivre.com.br/MLB-1912610479-roteador-wireless-mercusys-mw301r-300mbps-super-barato-_JM,
,556.97,11,1,https://produto.mercadolivre.com.br/MLB-2004811388-roteador-access-point-tp-link-archer-ax10-preto-_JM,
,328,15,7,https://produto.mercadolivre.com.br/MLB-2661676052-access-point-roteador-sistema-wi-fi-mesh-tp-l-_JM,
,53.99,99,3462,https://produto.mercadolivre.com.br/MLB-1737403345-repetidor-de-sinal-amplificador-wireless-wifi-300mbps-barato-_JM,
,234.99,515,89,https://produto.mercadolivre.com.br/MLB-1322010502-roteador-wireless-dual-band-ac1350-archer-c60-v2-tplink-_JM,
,675.23,5,147,https://produto.mercadolivre.com.br/MLB-1603272007-roteador-tp-link-deco-m5-1-pack-wifi-systen-bivolt-branco-_JM,
Space,236,5,90,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-roteador-zte-space-zt196-branco-110v220v/p/MLB18569280?pdp_filters=category:MLB5867,ZTE
,177.69,466,1,https://produto.mercadolivre.com.br/MLB-2223923373-roteador-multilaser-re018-preto-110v220v-_JM,
,78.30,9,134,https://produto.mercadolivre.com.br/MLB-1816053304-roteador-repetidor-wireless-sinal-forte-wifi-repeater-600mbp-_JM,
Archer,276,349,4119,https://www.mercadolivre.com.br/roteador-tp-link-archer-c5-v4-branco/p/MLB15982162?pdp_filters=category:MLB5867,TP-Link
,1394.88,44,7,https://produto.mercadolivre.com.br/MLB-755417505-ubiquiti-rocket-m5-ac-lite-r5ac-lite-_JM,
,1340,83,29,https://produto.mercadolivre.com.br/MLB-2186564413-wi-fi-mesh-access-point-roteador-tp-link-deco-m5-3-unidades-_JM,
,57.68,109,112,https://produto.mercadolivre.com.br/MLB-2095707858-roteador-access-point-repetidor-wds-bridge-wisp-tenda-n301-_JM,
,385,43,48,https://produto.mercadolivre.com.br/MLB-2189363779-roteador-wi-fi-exo-mesh-d-link-dir3040-tri-band-ac3000mbps-_JM,
,56.99,49,871,https://produto.mercadolivre.com.br/MLB-1745240963-repetidor-de-sinal-wifi-expansor-wireless-300m-internet-_JM,
,826,21,637,https://produto.mercadolivre.com.br/MLB-704406563-ubiquiti-powerbeam-m5-25dbi-pbe-m5-400-_JM,
,269.10,512,22,https://produto.mercadolivre.com.br/MLB-2152143976-modem-roteador-wifi-gwr1200ac-mont-branco-greatek-_JM,
,281.40,6,28,https://produto.mercadolivre.com.br/MLB-1620176957-roteador-load-balance-broadbalance-tl-r470t-tp-link-_JM,
,199.23,887,37,https://produto.mercadolivre.com.br/MLB-1255684940-repetidor-wifi-dual-band-tplink-ac750-245ghz-_JM,
,105.99,6,194,https://produto.mercadolivre.com.br/MLB-1516699121-wifi-repetidor-extensor-wireless-4-antenas-muito-rapido-_JM,
